날짜,메뉴,재료,공급업체,수량,단가,비고
2025-12-12,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-13,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-13,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-13,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-15,닭강정,비쉐프 만능강정소스(매콤달콤),fastmall.co.kr,4,10500,
2025-12-15,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-15,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-15,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-16,닭강정,염지닭,현대에프씨,20,6500,
2025-12-16,닭강정,염지닭_택배비,현대에프씨,1,8000,
2025-12-16,꼬치오뎅,상천어묵,미도어묵 대전지사,20,4700,
2025-12-16,꼬치오뎅,가래떡,미도어묵 대전지사,10,2800,
2025-12-16,꼬치오뎅,상천어묵_택배비,미도어묵 대전지사,2,4000,
2025-12-17,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-17,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-19,떡볶이,쌀떡볶이,농민식품,2,8000,
2025-12-19,닭강정,왕짧짧,농민식품,1,8000,
2025-12-19,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-12-19,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-19,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-12-20,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-20,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-20,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-22,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-22,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-22,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-23,닭강정,염지닭,현대에프씨,20,6500,
2025-12-23,닭강정,염지닭_택배비,현대에프씨,1,8000,
2025-12-23,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-23,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-23,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-12-25,꼬치오뎅,어묵용 스프,미도몰,20,3200,
2025-12-26,붕어빵,모짜렐라치즈,코스트코,1,26490,
2025-12-26,붕어빵,반죽,황금잉어빵세종,2,13000,
